,total_capex,total_ocf,total_debt_issuance,aggregate_capex_to_ocf,aggregate_fcf_gap
2008-06-30,69000000.0,347000000.0,0.0,0.1988472622478386,-278000000.0
2008-08-31,,3240000000.0,0.0,,
2008-09-30,880000000.0,3794000000.0,0.0,0.23194517659462308,-2914000000.0
2008-12-31,842000000.0,5782000000.0,0.0,0.14562435143548946,-4940000000.0
2009-03-31,687000000.0,5459000000.0,0.0,0.12584722476644075,-4772000000.0
2009-04-26,,142128000.0,0.0,,
2009-06-30,78000000.0,468000000.0,0.0,0.16666666666666666,-390000000.0
2009-08-31,,3738000000.0,4461000000.0,,
2009-09-30,538000000.0,6906000000.0,0.0,0.07790327251665219,-6368000000.0
2009-12-31,376000000.0,4969000000.0,0.0,0.07566914872207688,-4593000000.0
2010-03-31,548000000.0,6295000000.0,0.0,0.08705321683876092,-5747000000.0
2010-05-02,,-5397000.0,0.0,,
2010-06-30,196000000.0,250000000.0,0.0,0.784,-54000000.0
2010-08-31,118000000.0,3817000000.0,0.0,0.030914330626146187,-3699000000.0
2010-09-30,886250000.0,9065923000.0,0.0,0.09775617992784628,-8179673000.0
2010-12-31,491000000.0,4186000000.0,0.0,0.11729574773053034,-3695000000.0
2011-03-31,956000000.0,7086000000.0,0.0,0.13491391476150155,-6130000000.0
2011-05-01,31195000.0,172200000.0,0.0,0.18115563298490128,-141005000.0
2011-06-30,433000000.0,423000000.0,0.0,1.0236406619385343,10000000.0
2011-08-31,160000000.0,5421000000.0,0.0,0.029514849658734552,-5261000000.0
2011-09-30,973045000.0,9315137000.0,3156000.0,0.10445847441642565,-8342092000.0
2011-12-31,498000000.0,5862000000.0,0.0,0.0849539406345957,-5364000000.0
2012-03-31,1588000000.0,7597000000.0,0.0,0.20902988021587468,-6009000000.0
2012-04-29,28923000.0,-9208000.0,0.0,-3.141072980017376,38131000.0
2012-06-30,657000000.0,594000000.0,0.0,1.106060606060606,63000000.0
2012-08-31,139000000.0,5671000000.0,0.0,0.024510668312466937,-5532000000.0
2012-09-30,1319919000.0,9400446000.0,0.0,0.14041025287523592,-8080527000.0
2012-12-31,930000000.0,4780000000.0,0.0,0.19456066945606695,-3850000000.0
2013-03-31,1927000000.0,8013000000.0,0.0,0.24048421315362536,-6086000000.0
2013-04-28,65667000.0,175650000.0,0.0,0.37385140905209224,-109983000.0
2013-06-30,855000000.0,880000000.0,0.0,0.9715909090909091,-25000000.0
2013-08-31,153000000.0,5671000000.0,0.0,0.026979368718039146,-5518000000.0
2013-09-30,2270948000.0,11072307000.0,0.0,0.20510161071220298,-8801359000.0
2013-12-31,1732000000.0,9666000000.0,0.0,0.1791847713635423,-7934000000.0
2014-03-31,2635000000.0,8449000000.0,0.0,0.3118712273641851,-5814000000.0
2014-04-27,29000000.0,151000000.0,0.0,0.19205298013245034,-122000000.0
2014-06-30,1290000000.0,862000000.0,0.0,1.4965197215777262,428000000.0
2014-08-31,201000000.0,5671000000.0,0.0,0.03544348439428672,-5470000000.0
2014-09-30,2662766000.0,11459046000.0,0.0,0.232372398190914,-8796280000.0
2014-12-31,1490000000.0,9666000000.0,0.0,0.15414856196979101,-8176000000.0
2015-03-31,5691000000.0,16589000000.0,0.0,0.34305865332449215,-10898000000.0
2015-04-26,30000000.0,246000000.0,0.0,0.12195121951219512,-216000000.0
2015-06-30,3728000000.0,8719000000.0,0.0,0.4275719692625301,-4991000000.0
2015-08-31,446000000.0,5671000000.0,0.0,0.07864574149180038,-5225000000.0
2015-09-30,4941662000.0,19018306000.0,33000000.0,0.25983712744973186,-14076644000.0
2015-12-31,2024000000.0,9666000000.0,0.0,0.20939375129319263,-7642000000.0
2016-03-31,7047000000.0,18848000000.0,9000000.0,0.3738858234295416,-11801000000.0
2016-05-01,55000000.0,319000000.0,0.0,0.1724137931034483,-264000000.0
2016-06-30,3847000000.0,11236000000.0,66000000.0,0.3423816304734781,-7389000000.0
2016-07-31,55000000.0,201000000.0,0.0,0.2736318407960199,-146000000.0
2016-08-31,299000000.0,5671000000.0,0.0,0.05272438723329219,-5372000000.0
2016-09-30,6569646000.0,21798957000.0,8000000.0,0.3013743272212519,-15229311000.0
2016-12-31,1988000000.0,6293000000.0,0.0,0.31590656284760843,-4305000000.0
2017-03-31,7335000000.0,23647000000.0,24000000.0,0.3101873387744746,-16312000000.0
2017-04-30,54000000.0,282000000.0,0.0,0.19148936170212766,-228000000.0
2017-06-30,4692000000.0,13398000000.0,49000000.0,0.35020152261531573,-8706000000.0
2017-08-31,473000000.0,6566000000.0,0.0,0.0720377703320134,-6093000000.0
2017-09-30,7535956000.0,25776838000.0,16080000000.0,0.29235377900113274,-18240882000.0
2017-12-31,2586000000.0,7875000000.0,0.0,0.3283809523809524,-5289000000.0
2018-03-31,14906000000.0,29862000000.0,125000000.0,0.49916281561851183,-14956000000.0
2018-04-29,118000000.0,1445000000.0,0.0,0.08166089965397924,-1327000000.0
2018-06-30,7338000000.0,19091000000.0,96000000.0,0.3843695982400084,-11753000000.0
