symbol,name,price_change_24h,volume_24h,market_cap,is_advance,is_decline,is_unchanged
BTC,Bitcoin,4.86648,43821286179.0,1626919611142.0,1,0,0
ETH,Ethereum,5.89762,22919282570.0,319442139785.0,1,0,0
BNB,BNB,1.64553,1458190215.0,101506684657.0,1,0,0
XRP,XRP,7.24911,4380988338.0,88738758326.0,1,0,0
SOL,Solana,7.40218,6084835603.0,66066725065.0,1,0,0
TRX,TRON,0.73869,436306784.0,32117797233.0,1,0,0
ZEC,Zcash,2.2636,1667851040.0,25910699329.0,1,0,0
FIGR_HELOC,Figure Heloc,0.41218,104325865.0,23438388493.0,1,0,0
HYPE,Hyperliquid,6.67317,1620068807.0,20491688374.0,1,0,0
DOGE,Dogecoin,4.24677,1236184739.0,13659711023.0,1,0,0
XMR,Monero,10.44912,225990500.0,10711885413.0,1,0,0
WBT,WhiteBIT Coin,4.45227,150327272.0,9876872670.0,1,0,0
RAIN,Rain,5.38427,20134721.0,9472429944.0,1,0,0
LINK,Chainlink,5.5491,565104440.0,9225065546.0,1,0,0
ADA,Cardano,6.34458,687739948.0,8503067744.0,1,0,0
LEO,LEO Token,-0.04069,70594.0,8172538030.0,0,1,0
XLM,Stellar,3.26401,258477290.0,6762349403.0,1,0,0
UNI,Uniswap,3.47804,1849727286.0,5503528842.0,1,0,0
BCH,Bitcoin Cash,1.06262,299244527.0,4973081059.0,1,0,0
NEAR,NEAR Protocol,7.63175,1648512698.0,4865170315.0,1,0,0
LTC,Litecoin,7.04542,442230662.0,4535958305.0,1,0,0
CC,Canton,5.15844,17458732.0,4438499407.0,1,0,0
USD1,USD1,0.06408,1295960029.0,4355618648.0,1,0,0
GRAM,Gram (prev. Toncoin),1.67631,40144922.0,3843818176.0,1,0,0
AVAX,Avalanche,6.71155,506008148.0,3724196542.0,1,0,0
HBAR,Hedera,2.74393,94163852.0,3469185603.0,1,0,0
SUI,Sui,6.06826,817836213.0,3372898243.0,1,0,0
USDG,Global Dollar,0.00117,1032696337.0,3265836908.0,1,0,0
SHIB,Shiba Inu,1.61191,98315680.0,3200525190.0,1,0,0
M,MemeCore,1.64192,1395500.0,2947493622.0,1,0,0
CRO,Cronos,0.7192,11068386.0,2939542553.0,1,0,0
TAO,Bittensor,6.22659,285858417.0,2873774697.0,1,0,0
USYC,Circle USYC,0.03042,0.0,2508311923.0,1,0,0
OKB,OKB,2.27325,33739188.0,2447404274.0,1,0,0
