key,symbol,name,chain,price_change_24h,volume_24h,liquidity_usd,fdv_usd,is_advance,is_decline,is_unchanged
bsc_TAKE,TAKE,TAKE / WBNB 0.01%,bsc,89.652,54392530.6616433,573688.5187,15684114.1523667,1,0,0
bsc_KII,KII,KII / USDT 0.007%,bsc,-0.541,46988758.306446,1245536.7576,20472598.2071667,0,1,0
solana_E,E,e/acc / SOL,solana,39572.139,44573073.5120575,583378.1534,18985704.4302258,1,0,0
bsc_DGAI,DGAI,DGAI / USDT 0.01%,bsc,0.123,38061723.1341673,3272711.6022,1047634582.9,1,0,0
bsc_BANK,BANK,BANK / WBNB 0.01%,bsc,0.109,37161964.3336873,646776.5418,73031809.7596105,1,0,0
solana_PAID,PAID,PAID / SOL,solana,405.847,36345721.0770433,1390735.5052,47238023.4164689,1,0,0
bsc_B2,B2,B2 / WBNB 0.01%,bsc,-12.187,22049747.9355855,793637.4614,93879000.0986159,0,1,0
bsc_CNPY,CNPY,CNPY / USDT 0.007%,bsc,-1.989,21678044.3283992,1612972.6172,12239540.1415491,0,1,0
bsc_BTCB,BTCB,BTCB / WBNB 0.05%,bsc,-0.97,19698456.414075,27207395.0945,5241751607.50693,0,1,0
solana_BP,BP,BP / USDC,solana,-1.698,17107201.4793917,5431691.2095,1186867933.9359,0,1,0
solana_STONK,STONK,STONK / SPYx,solana,-18.161,15333853.9821289,3077917.7322,221446717.771232,0,1,0
solana_PUMP,PUMP,PUMP / USDC,solana,-3.768,13581265.8525201,22603784.5557,3586171650.02538,0,1,0
solana_ZEC,ZEC,ZEC / USDC,solana,6.268,13208549.1041142,2951408.9415,161359005.140701,1,0,0
bsc_GENIUS,GENIUS,GENIUS / USDC 0.007%,bsc,8.428,10550721.1311783,808380.9765,348035267.570847,1,0,0
bsc_BREW,BREW,BREW / WBNB 1%,bsc,147.268,8665061.00503345,960180.7029,12544940.7036451,1,0,0
bsc_AKE,AKE,AKE / WBNB 0.01%,bsc,-4.649,7824519.32765282,2805688.1035,3351914667.84448,0,1,0
bsc_GSTOCK,GSTOCK,GSTOCK / USDT 1%,bsc,20.161,7718201.11525287,959345.1141,24334883.8591847,1,0,0
base_SOL,SOL,SOL / USDC 0.021%,base,3.314,7041910.53013789,678160.7511,29170122.992423,1,0,0
bsc_龙虾,龙虾,龙虾 / WBNB,bsc,-14.898,6353246.22041414,2973367.078,104340199.521843,0,1,0
solana_CARDS,CARDS,CARDS / USDC,solana,-11.971,6254347.97327888,3169905.3869,321170753.098899,0,1,0
bsc_B13B,B13B,B13B / USDT 0.05%,bsc,-1.668,4778778.09724153,447087.6093,29568629.1454684,0,1,0
bsc_牛来,牛来,牛来 / USDT 0.25%,bsc,3.452,4740735.35088269,1090015.8729,110538005.881482,1,0,0
solana_CATE,CATE,CATE / SOL,solana,-6.804,4428306.89957873,3793389.6372,98178039.7452773,0,1,0
bsc_UAI,UAI,UAI / BNB 0.007%,bsc,11.375,4373258.7771821,1247512.0978,398473493.999949,1,0,0
bsc_PIEVERSE,PIEVERSE,PIEVERSE / USDT 0.007%,bsc,-3.682,4235425.29730215,2407241.1572,156755041.274581,0,1,0
base_AERO,AERO,AERO / USDC,base,18.614,4219351.83320516,832817.5965,1771276342.28292,1,0,0
solana_FARTCOIN,FARTCOIN,Fartcoin / SOL,solana,1.773,4159199.04828906,9387820.5513,203187805.72447,1,0,0
