Date,core_adv,core_dec,core_ramo,frontier_adv,frontier_dec,frontier_ramo,btc_close
2023-10-02,2,26,-857.1428571428571,0,3,-1000.0,27530.78515625
2023-10-03,6,21,-555.5555555555555,0,2,-1000.0,27429.978515625
2023-10-04,13,14,-37.03703703703704,1,1,0.0,27799.39453125
2023-10-05,5,22,-629.6296296296297,0,2,-1000.0,27415.912109375
2023-10-06,26,1,925.925925925926,2,0,1000.0,27946.59765625
2023-10-07,6,21,-555.5555555555555,2,0,1000.0,27968.83984375
2023-10-08,4,23,-703.7037037037037,0,2,-1000.0,27935.08984375
2023-10-09,1,26,-925.925925925926,0,3,-1000.0,27583.677734375
2023-10-10,9,18,-333.3333333333333,2,0,1000.0,27391.01953125
2023-10-11,6,21,-555.5555555555555,1,1,0.0,26873.3203125
2023-10-12,2,25,-851.8518518518518,0,2,-1000.0,26756.798828125
2023-10-13,24,3,777.7777777777778,3,0,1000.0,26862.375
2023-10-14,22,5,629.6296296296297,1,1,0.0,26861.70703125
2023-10-15,16,11,185.18518518518516,1,1,0.0,27159.65234375
2023-10-16,26,1,925.925925925926,1,1,0.0,28519.466796875
2023-10-17,3,24,-777.7777777777778,1,1,0.0,28415.748046875
2023-10-18,8,19,-407.4074074074074,1,1,0.0,28328.341796875
2023-10-19,15,12,111.1111111111111,1,1,0.0,28719.806640625
2023-10-20,25,2,851.8518518518518,2,1,333.3333333333333,29682.94921875
2023-10-21,27,0,1000.0,2,0,1000.0,29918.412109375
2023-10-22,23,4,703.7037037037037,3,0,1000.0,29993.896484375
2023-10-23,26,1,925.925925925926,2,1,333.3333333333333,33086.234375
2023-10-24,11,16,-185.18518518518516,0,3,-1000.0,33901.52734375
2023-10-25,20,8,428.57142857142856,4,0,1000.0,34502.8203125
2023-10-26,14,13,37.03703703703704,4,0,1000.0,34156.6484375
2023-10-27,9,18,-333.3333333333333,0,3,-1000.0,33909.80078125
2023-10-28,21,6,555.5555555555555,2,1,333.3333333333333,34089.57421875
2023-10-29,25,2,851.8518518518518,2,1,333.3333333333333,34538.48046875
2023-10-30,21,6,555.5555555555555,3,0,1000.0,34502.36328125
2023-10-31,12,15,-111.1111111111111,0,3,-1000.0,34667.78125
2023-11-01,26,1,925.925925925926,1,1,0.0,35437.25390625
2023-11-02,6,21,-555.5555555555555,1,2,-333.3333333333333,34938.2421875
2023-11-03,13,14,-37.03703703703704,2,0,1000.0,34732.32421875
2023-11-04,26,1,925.925925925926,2,2,0.0,35082.1953125
2023-11-05,21,6,555.5555555555555,1,3,-500.0,35049.35546875
2023-11-06,25,2,851.8518518518518,2,1,333.3333333333333,35037.37109375
2023-11-07,5,22,-629.6296296296297,0,3,-1000.0,35443.5625
2023-11-08,25,2,851.8518518518518,3,0,1000.0,35655.27734375
2023-11-09,12,15,-111.1111111111111,2,3,-200.0,36693.125
2023-11-10,23,5,642.8571428571429,6,0,1000.0,37313.96875
2023-11-11,16,11,185.18518518518516,2,2,0.0,37138.05078125
2023-11-12,14,13,37.03703703703704,0,4,-1000.0,37054.51953125
2023-11-13,3,24,-777.7777777777778,2,2,0.0,36502.35546875
2023-11-14,5,23,-642.8571428571429,2,3,-200.0,35537.640625
2023-11-15,28,0,1000.0,5,1,666.6666666666666,37880.58203125
2023-11-16,4,24,-714.2857142857143,1,4,-600.0,36154.76953125
2023-11-17,15,13,71.42857142857143,2,2,0.0,36596.68359375
2023-11-18,11,16,-185.18518518518516,0,4,-1000.0,36585.703125
2023-11-19,26,1,925.925925925926,5,0,1000.0,37386.546875
2023-11-20,8,20,-428.57142857142856,0,5,-1000.0,37476.95703125
2023-11-21,0,27,-1000.0,0,4,-1000.0,35813.8125
2023-11-22,27,0,1000.0,5,0,1000.0,37432.33984375
2023-11-23,11,16,-185.18518518518516,2,3,-200.0,37289.62109375
2023-11-24,23,4,703.7037037037037,4,0,1000.0,37720.28125
2023-11-25,25,2,851.8518518518518,4,0,1000.0,37796.79296875
2023-11-26,4,23,-703.7037037037037,0,4,-1000.0,37479.12109375
2023-11-27,2,25,-851.8518518518518,1,3,-500.0,37254.16796875
2023-11-28,22,5,629.6296296296297,4,0,1000.0,37831.0859375
2023-11-29,7,20,-481.48148148148147,0,3,-1000.0,37858.4921875
2023-11-30,14,13,37.03703703703704,3,0,1000.0,37712.74609375
2023-12-01,26,1,925.925925925926,3,0,1000.0,38688.75
2023-12-02,27,1,928.5714285714286,6,0,1000.0,39476.33203125
2023-12-03,8,19,-407.4074074074074,1,2,-333.3333333333333,39978.390625
2023-12-04,22,5,629.6296296296297,5,0,1000.0,41980.09765625
2023-12-05,17,10,259.25925925925924,6,0,1000.0,44080.6484375
2023-12-06,10,18,-285.7142857142857,3,4,-142.85714285714286,43746.4453125
2023-12-07,25,2,851.8518518518518,4,2,333.3333333333333,43292.6640625
2023-12-08,27,0,1000.0,3,2,200.0,44166.6015625
2023-12-09,10,17,-259.25925925925924,1,4,-600.0,43725.984375
2023-12-10,21,6,555.5555555555555,3,2,200.0,43779.69921875
2023-12-11,4,23,-703.7037037037037,1,5,-666.6666666666666,41243.83203125
2023-12-12,18,9,333.3333333333333,1,4,-600.0,41450.22265625
2023-12-13,22,5,629.6296296296297,3,2,200.0,42890.7421875
2023-12-14,21,6,555.5555555555555,5,0,1000.0,43023.97265625
2023-12-15,3,24,-777.7777777777778,1,3,-500.0,41929.7578125
2023-12-16,20,8,428.57142857142856,4,2,333.3333333333333,42240.1171875
2023-12-17,2,26,-857.1428571428571,1,5,-666.6666666666666,41364.6640625
2023-12-18,17,10,259.25925925925924,1,4,-600.0,42623.5390625
2023-12-19,7,20,-481.48148148148147,1,4,-600.0,42270.52734375
2023-12-20,23,4,703.7037037037037,3,1,500.0,43652.25
2023-12-21,24,3,777.7777777777778,5,1,666.6666666666666,43869.15234375
2023-12-22,19,9,357.14285714285717,6,2,500.0,43997.90234375
2023-12-23,16,11,185.18518518518516,2,5,-428.57142857142856,43739.54296875
2023-12-24,7,20,-481.48148148148147,0,6,-1000.0,43016.1171875
2023-12-25,25,2,851.8518518518518,6,0,1000.0,43613.140625
2023-12-26,8,19,-407.4074074074074,0,6,-1000.0,42520.40234375
2023-12-27,17,10,259.25925925925924,4,2,333.3333333333333,43442.85546875
2023-12-28,7,20,-481.48148148148147,1,4,-600.0,42627.85546875
2023-12-29,7,21,-500.0,1,5,-666.6666666666666,42099.40234375
2023-12-30,12,15,-111.1111111111111,1,4,-600.0,42156.90234375
2023-12-31,3,24,-777.7777777777778,0,5,-1000.0,42265.1875
2024-01-01,27,1,928.5714285714286,7,0,1000.0,44167.33203125
2024-01-02,7,20,-481.48148148148147,0,6,-1000.0,44957.96875
